NOMBRE ENTIDAD,TIPO ENTIDAD,FECHA CORTE,ESTADO FINANCIERO,CODIGO CUENTA,DESCRIPCION,SALDO,MONEDA
BANCO CMB,Bancos Privados,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.03689913655866936,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,ROA,ROA,0.00542250892125566,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,ROE,ROE,0.04667647609791384,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.92700431011599,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.5447924708192804,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.030059531308937147,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.6640793967283075,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.030415022663472593,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.1421,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.1337,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.3958857124112056,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANCO DE COSTA RICA,Bancos Estatales,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.03237681569167336,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,ROA,ROA,0.005609050842781864,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,ROE,ROE,0.024748076167320512,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9451278388136298,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.6967076784200358,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.012732841339944434,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.7900813673546219,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.026947539037414283,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0987,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.3213,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.3929855366495453,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANCO GENERAL,Bancos Privados,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.040241031825106306,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,ROA,ROA,0.011107671913716671,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,ROE,ROE,0.10450983985666966,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9532106159388052,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.6512934966621221,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.024591786905941878,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.639395631309007,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.0293954432693128,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0683,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.1511,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.40388516924647844,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
BANCO NACIONAL,Bancos Estatales,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.05274592109450728,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ROA,ROA,0.005537879401108018,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ROE,ROE,0.023556445944683563,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.8790784570241659,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.37046459768107115,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.03009559329498306,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.6384250723833722,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.03920980782581371,CRC
BANCO POPULAR,Bancos creados por Ley Especial,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0654,CRC
